root,type,structure,notes
A,m6,"1,b3,5,6","A,C,E,F#"
A,13(#5),"1,3,#5,b7,9,11,13","A,C#,F,G,B,D,F#"
A,m6/9,"1,b3,5,6,9","A,C,E,F#,B"
A,7(b9),"1,3,5,b7,b9","A,C#,E,G,A#"
A,m9,"1,b3,5,b7,9","A,C,E,G,B"
A,13(b9),"1,3,5,b7,b9,11,13","A,C#,E,G,A#,D,F#"
A,sus4,"1,4,5","A,D,E"
A,6/9,"1,3,5,6,9","A,C#,E,F#,B"
B,9(#5),"1,3,#5,b7,9","B,D#,G,A,C#"
B,13,"1,3,5,b7,9,11,13","B,D#,F#,A,C#,E,G#"
B,6(#11),"1,3,5,6,#11","B,D#,F#,G#,F"
B,7(#9),"1,3,5,b7,#9","B,D#,F#,A,D"
B,+(#11),"1,3,#5,#11","B,D#,G,F"
B,9,"1,3,5,b7,9","B,D#,F#,A,C#"
B,9b5,"1,3,b5,b7,9","B,D#,F,A,C#"
B,maj13,"1,3,5,7,9,11,13","B,D#,F#,A#,C#,E,G#"
B,7,"1,3,5,b7","B,D#,F#,A"
B,dim7,"1,b3,b5,A#7","B,D,F,G#"
B,aug,"1,3,#5","B,D#,G"
B,m(maj9),"1,b3,5,7,9","B,D,F#,A#,C#"
B,maj,"1,3,5","B,D#,F#"
B,13(#11),"1,3,5,b7,9,#11,13","B,D#,F#,A,C#,F,G#"
B,11,"1,3,5,b7,9,11","B,D#,F#,A,C#,E"
B,maj9,"1,3,5,7,9","B,D#,F#,A#,C#"
B,sus2,"1,2,5","B,C#,F#"
B,7(b13),"1,3,5,b7,b13","B,D#,F#,A,G"
B,maj7(#5),"1,3,#5,7","B,D#,G,A#"
B,m11,"1,b3,5,b7,9,11","B,D,F#,A,C#,E"
B,add9,"1,3,5,9","B,D#,F#,C#"
B,m7b5,"1,b3,b5,b7","B,D,F,A"
B,m13,"1,b3,5,b7,9,11,13","B,D,F#,A,C#,E,G#"
B,m,"1,b3,5","B,D,F#"
B,7b5,"1,3,b5,b7","B,D#,F,A"
B,9(#11),"1,3,5,b7,9,#11","B,D#,F#,A,C#,F"
B,m7,"1,b3,5,b7","B,D,F#,A"
B,m(maj7),"1,b3,5,7","B,D,F#,A#"
B,dim,"1,b3,b5","B,D,F"
B,6,"1,3,5,6","B,D#,F#,G#"
B,7(#5),"1,3,#5,b7","B,D#,G,A"
B,7sus4,"1,4,5,b7","B,E,F#,A"
B,maj7,"1,3,5,7","B,D#,F#,A#"
B,5,"1,5","B,F#"
B,7(#11),"1,3,5,b7,#11","B,D#,F#,A,F"
B,13(#9),"1,3,5,b7,#9,11,13","B,D#,F#,A,D,E,G#"
B,m6,"1,b3,5,6","B,D,F#,G#"
B,13(#5),"1,3,#5,b7,9,11,13","B,D#,G,A,C#,E,G#"
B,m6/9,"1,b3,5,6,9","B,D,F#,G#,C#"
B,7(b9),"1,3,5,b7,b9","B,D#,F#,A,C"
B,m9,"1,b3,5,b7,9","B,D,F#,A,C#"
B,13(b9),"1,3,5,b7,b9,11,13","B,D#,F#,A,C,E,G#"
B,sus4,"1,4,5","B,E,F#"
B,6/9,"1,3,5,6,9","B,D#,F#,G#,C#"
C,9(#5),"1,3,#5,b7,9","C,E,G#,A#,D"
C,13,"1,3,5,b7,9,11,13","C,E,G,A#,D,F,A"
C,6(#11),"1,3,5,6,#11","C,E,G,A,F#"
C,7(#9),"1,3,5,b7,#9","C,E,G,A#,D#"
C,+(#11),"1,3,#5,#11","C,E,G#,F#"
C,9,"1,3,5,b7,9","C,E,G,A#,D"
C,9b5,"1,3,b5,b7,9","C,E,F#,A#,D"
C,maj13,"1,3,5,7,9,11,13","C,E,G,B,D,F,A"
C,7,"1,3,5,b7","C,E,G,A#"
C,dim7,"1,b3,b5,A#7","C,D#,F#,A#b"
C,aug,"1,3,#5","C,E,G#"
C,m(maj9),"1,b3,5,7,9","C,D#,G,B,D"
C,maj,"1,3,5","C,E,G"
C,13(#11),"1,3,5,b7,9,#11,13","C,E,G,A#,D,F#,A"
C,11,"1,3,5,b7,9,11","C,E,G,A#,D,F"
C,maj9,"1,3,5,7,9","C,E,G,B,D"
C,sus2,"1,2,5","C,D,G"
C,7(b13),"1,3,5,b7,b13","C,E,G,A#,G#"
C,maj7(#5),"1,3,#5,7","C,E,G#,B"
C,m11,"1,b3,5,b7,9,11","C,D#,G,A#,D,F"
C,add9,"1,3,5,9","C,E,G,D"
C,m7b5,"1,b3,b5,b7","C,D#,F#,A#"
C,m13,"1,b3,5,b7,9,11,13","C,D#,G,A#,D,F,A"
C,m,"1,b3,5","C,D#,G"
C,7b5,"1,3,b5,b7","C,E,F#,A#"
C,9(#11),"1,3,5,b7,9,#11","C,E,G,A#,D,F#"
C,m7,"1,b3,5,b7","C,D#,G,A#"
C,m(maj7),"1,b3,5,7","C,D#,G,B"
C,dim,"1,b3,b5","C,D#,F#"
C,6,"1,3,5,6","C,E,G,A"
C,7(#5),"1,3,#5,b7","C,E,G#,A#"
C,7sus4,"1,4,5,b7","C,F,G,A#"
C,maj7,"1,3,5,7","C,E,G,B"
C,5,"1,5","C,G"
C,7(#11),"1,3,5,b7,#11","C,E,G,A#,F#"
C,13(#9),"1,3,5,b7,#9,11,13","C,E,G,A#,D#,F,A"
C,m6,"1,b3,5,6","C,D#,G,A"
C,13(#5),"1,3,#5,b7,9,11,13","C,E,G#,A#,D,F,A"
C,m6/9,"1,b3,5,6,9","C,D#,G,A,D"
C,7(b9),"1,3,5,b7,b9","C,E,G,A#,C#"
C,m9,"1,b3,5,b7,9","C,D#,G,A#,D"
C,13(b9),"1,3,5,b7,b9,11,13","C,E,G,A#,C#,F,A"
C,sus4,"1,4,5","C,F,G"
C,6/9,"1,3,5,6,9","C,E,G,A,D"
D,9(#5),"1,3,#5,b7,9","D,F#,A#,C,E"
D,13,"1,3,5,b7,9,11,13","D,F#,A,C,E,G,B"
D,6(#11),"1,3,5,6,#11","D,F#,A,B,G#"
D,7(#9),"1,3,5,b7,#9","D,F#,A,C,F"
D,+(#11),"1,3,#5,#11","D,F#,A#,G#"
D,9,"1,3,5,b7,9","D,F#,A,C,E"
D,9b5,"1,3,b5,b7,9","D,F#,G#,C,E"
D,maj13,"1,3,5,7,9,11,13","D,F#,A,C#,E,G,B"
D,7,"1,3,5,b7","D,F#,A,C"
D,dim7,"1,b3,b5,A#7","D,F,G#,B"
D,aug,"1,3,#5","D,F#,A#"
D,m(maj9),"1,b3,5,7,9","D,F,A,C#,E"
D,maj,"1,3,5","D,F#,A"
D,13(#11),"1,3,5,b7,9,#11,13","D,F#,A,C,E,G#,B"
D,11,"1,3,5,b7,9,11","D,F#,A,C,E,G"
D,maj9,"1,3,5,7,9","D,F#,A,C#,E"
D,sus2,"1,2,5","D,E,A"
D,7(b13),"1,3,5,b7,b13","D,F#,A,C,A#"
D,maj7(#5),"1,3,#5,7","D,F#,A#,C#"
D,m11,"1,b3,5,b7,9,11","D,F,A,C,E,G"
D,add9,"1,3,5,9","D,F#,A,E"
D,m7b5,"1,b3,b5,b7","D,F,G#,C"
D,m13,"1,b3,5,b7,9,11,13","D,F,A,C,E,G,B"
D,m,"1,b3,5","D,F,A"
D,7b5,"1,3,b5,b7","D,F#,G#,C"
D,9(#11),"1,3,5,b7,9,#11","D,F#,A,C,E,G#"
D,m7,"1,b3,5,b7","D,F,A,C"
D,m(maj7),"1,b3,5,7","D,F,A,C#"
D,dim,"1,b3,b5","D,F,G#"
D,6,"1,3,5,6","D,F#,A,B"
D,7(#5),"1,3,#5,b7","D,F#,A#,C"
D,7sus4,"1,4,5,b7","D,G,A,C"
D,maj7,"1,3,5,7","D,F#,A,C#"
D,5,"1,5","D,A"
D,7(#11),"1,3,5,b7,#11","D,F#,A,C,G#"
D,13(#9),"1,3,5,b7,#9,11,13","D,F#,A,C,F,G,B"
D,m6,"1,b3,5,6","D,F,A,B"
D,13(#5),"1,3,#5,b7,9,11,13","D,F#,A#,C,E,G,B"
D,m6/9,"1,b3,5,6,9","D,F,A,B,E"
D,7(b9),"1,3,5,b7,b9","D,F#,A,C,D#"
D,m9,"1,b3,5,b7,9","D,F,A,C,E"
D,13(b9),"1,3,5,b7,b9,11,13","D,F#,A,C,D#,G,B"
D,sus4,"1,4,5","D,G,A"
D,6/9,"1,3,5,6,9","D,F#,A,B,E"
E,9(#5),"1,3,#5,b7,9","E,G#,C,D,F#"
E,13,"1,3,5,b7,9,11,13","E,G#,B,D,F#,A,C#"
E,6(#11),"1,3,5,6,#11","E,G#,B,C#,A#"
E,7(#9),"1,3,5,b7,#9","E,G#,B,D,G"
E,+(#11),"1,3,#5,#11","E,G#,C,A#"
E,9,"1,3,5,b7,9","E,G#,B,D,F#"
E,9b5,"1,3,b5,b7,9","E,G#,A#,D,F#"
E,maj13,"1,3,5,7,9,11,13","E,G#,B,D#,F#,A,C#"
E,7,"1,3,5,b7","E,G#,B,D"
E,dim7,"1,b3,b5,A#7","E,G,A#,C#"
E,aug,"1,3,#5","E,G#,C"
E,m(maj9),"1,b3,5,7,9","E,G,B,D#,F#"
E,maj,"1,3,5","E,G#,B"
E,13(#11),"1,3,5,b7,9,#11,13","E,G#,B,D,F#,A#,C#"
E,11,"1,3,5,b7,9,11","E,G#,B,D,F#,A"
E,maj9,"1,3,5,7,9","E,G#,B,D#,F#"
E,sus2,"1,2,5","E,F#,B"
E,7(b13),"1,3,5,b7,b13","E,G#,B,D,C"
E,maj7(#5),"1,3,#5,7","E,G#,C,D#"
E,m11,"1,b3,5,b7,9,11","E,G,B,D,F#,A"
E,add9,"1,3,5,9","E,G#,B,F#"
E,m7b5,"1,b3,b5,b7","E,G,A#,D"
E,m13,"1,b3,5,b7,9,11,13","E,G,B,D,F#,A,C#"
E,m,"1,b3,5","E,G,B"
E,7b5,"1,3,b5,b7","E,G#,A#,D"
E,9(#11),"1,3,5,b7,9,#11","E,G#,B,D,F#,A#"
E,m7,"1,b3,5,b7","E,G,B,D"
E,m(maj7),"1,b3,5,7","E,G,B,D#"
E,dim,"1,b3,b5","E,G,A#"
E,6,"1,3,5,6","E,G#,B,C#"
E,7(#5),"1,3,#5,b7","E,G#,C,D"
E,7sus4,"1,4,5,b7","E,A,B,D"
E,maj7,"1,3,5,7","E,G#,B,D#"
E,5,"1,5","E,B"
E,7(#11),"1,3,5,b7,#11","E,G#,B,D,A#"
E,13(#9),"1,3,5,b7,#9,11,13","E,G#,B,D,G,A,C#"
E,m6,"1,b3,5,6","E,G,B,C#"
E,13(#5),"1,3,#5,b7,9,11,13","E,G#,C,D,F#,A,C#"
E,m6/9,"1,b3,5,6,9","E,G,B,C#,F#"
E,7(b9),"1,3,5,b7,b9","E,G#,B,D,F"
E,m9,"1,b3,5,b7,9","E,G,B,D,F#"
E,13(b9),"1,3,5,b7,b9,11,13","E,G#,B,D,F,A,C#"
E,sus4,"1,4,5","E,A,B"
E,6/9,"1,3,5,6,9","E,G#,B,C#,F#"
F,9(#5),"1,3,#5,b7,9","F,A,C#,D#,G"
F,13,"1,3,5,b7,9,11,13","F,A,C,D#,G,A#,D"
F,6(#11),"1,3,5,6,#11","F,A,C,D,B"
F,7(#9),"1,3,5,b7,#9","F,A,C,D#,G#"
F,+(#11),"1,3,#5,#11","F,A,C#,B"
F,9,"1,3,5,b7,9","F,A,C,D#,G"
F,9b5,"1,3,b5,b7,9","F,A,B,D#,G"
F,maj13,"1,3,5,7,9,11,13","F,A,C,E,G,A#,D"
F,7,"1,3,5,b7","F,A,C,D#"
F,dim7,"1,b3,b5,A#7","F,G#,B,EA#"
F,aug,"1,3,#5","F,A,C#"
F,m(maj9),"1,b3,5,7,9","F,G#,C,E,G"
F,maj,"1,3,5","F,A,C"
F,13(#11),"1,3,5,b7,9,#11,13","F,A,C,D#,G,B,D"
F,11,"1,3,5,b7,9,11","F,A,C,D#,G,A#"
F,maj9,"1,3,5,7,9","F,A,C,E,G"
F,sus2,"1,2,5","F,G,C"
F,7(b13),"1,3,5,b7,b13","F,A,C,D#,C#"
F,maj7(#5),"1,3,#5,7","F,A,C#,E"
F,m11,"1,b3,5,b7,9,11","F,G#,C,D#,G,A#"
F,add9,"1,3,5,9","F,A,C,G"
F,m7b5,"1,b3,b5,b7","F,G#,B,D#"
F,m13,"1,b3,5,b7,9,11,13","F,G#,C,D#,G,A#,D"
F,m,"1,b3,5","F,G#,C"
F,7b5,"1,3,b5,b7","F,A,B,D#"
F,9(#11),"1,3,5,b7,9,#11","F,A,C,D#,G,B"
F,m7,"1,b3,5,b7","F,G#,C,D#"
F,m(maj7),"1,b3,5,7","F,G#,C,E"
F,dim,"1,b3,b5","F,G#,B"
F,6,"1,3,5,6","F,A,C,D"
F,7(#5),"1,3,#5,b7","F,A,C#,D#"
F,7sus4,"1,4,5,b7","F,A#,C,D#"
F,maj7,"1,3,5,7","F,A,C,E"
F,5,"1,5","F,C"
F,7(#11),"1,3,5,b7,#11","F,A,C,D#,B"
F,13(#9),"1,3,5,b7,#9,11,13","F,A,C,D#,G#,A#,D"
F,m6,"1,b3,5,6","F,G#,C,D"
F,13(#5),"1,3,#5,b7,9,11,13","F,A,C#,D#,G,A#,D"
F,m6/9,"1,b3,5,6,9","F,G#,C,D,G"
F,7(b9),"1,3,5,b7,b9","F,A,C,D#,F#"
F,m9,"1,b3,5,b7,9","F,G#,C,D#,G"
F,13(b9),"1,3,5,b7,b9,11,13","F,A,C,D#,F#,A#,D"
F,sus4,"1,4,5","F,A#,C"
F,6/9,"1,3,5,6,9","F,A,C,D,G"
G,9(#5),"1,3,#5,b7,9","G,B,D#,F,A"
G,13,"1,3,5,b7,9,11,13","G,B,D,F,A,C,E"
G,6(#11),"1,3,5,6,#11","G,B,D,E,C#"
G,7(#9),"1,3,5,b7,#9","G,B,D,F,A#"
G,+(#11),"1,3,#5,#11","G,B,D#,C#"
G,9,"1,3,5,b7,9","G,B,D,F,A"
G,9b5,"1,3,b5,b7,9","G,B,C#,F,A"
G,maj13,"1,3,5,7,9,11,13","G,B,D,F#,A,C,E"
G,7,"1,3,5,b7","G,B,D,F"
G,dim7,"1,b3,b5,A#7","G,A#,C#,E"
G,aug,"1,3,#5","G,B,D#"
G,m(maj9),"1,b3,5,7,9","G,A#,D,F#,A"
G,maj,"1,3,5","G,B,D"
G,13(#11),"1,3,5,b7,9,#11,13","G,B,D,F,A,C#,E"
G,11,"1,3,5,b7,9,11","G,B,D,F,A,C"
G,maj9,"1,3,5,7,9","G,B,D,F#,A"
G,sus2,"1,2,5","G,A,D"
G,7(b13),"1,3,5,b7,b13","G,B,D,F,D#"
G,maj7(#5),"1,3,#5,7","G,B,D#,F#"
G,m11,"1,b3,5,b7,9,11","G,A#,D,F,A,C"
G,add9,"1,3,5,9","G,B,D,A"
G,m7b5,"1,b3,b5,b7","G,A#,C#,F"
G,m13,"1,b3,5,b7,9,11,13","G,A#,D,F,A,C,E"
G,m,"1,b3,5","G,A#,D"
G,7b5,"1,3,b5,b7","G,B,C#,F"
G,9(#11),"1,3,5,b7,9,#11","G,B,D,F,A,C#"
G,m7,"1,b3,5,b7","G,A#,D,F"
G,m(maj7),"1,b3,5,7","G,A#,D,F#"
G,dim,"1,b3,b5","G,A#,C#"
G,6,"1,3,5,6","G,B,D,E"
G,7(#5),"1,3,#5,b7","G,B,D#,F"
G,7sus4,"1,4,5,b7","G,C,D,F"
G,maj7,"1,3,5,7","G,B,D,F#"
G,5,"1,5","G,D"
G,7(#11),"1,3,5,b7,#11","G,B,D,F,C#"
G,13(#9),"1,3,5,b7,#9,11,13","G,B,D,F,A#,C,E"
G,m6,"1,b3,5,6","G,A#,D,E"
G,13(#5),"1,3,#5,b7,9,11,13","G,B,D#,F,A,C,E"
G,m6/9,"1,b3,5,6,9","G,A#,D,E,A"
G,7(b9),"1,3,5,b7,b9","G,B,D,F,G#"
G,m9,"1,b3,5,b7,9","G,A#,D,F,A"
G,13(b9),"1,3,5,b7,b9,11,13","G,B,D,F,G#,C,E"
G,sus4,"1,4,5","G,C,D"
G,6/9,"1,3,5,6,9","G,B,D,E,A"
